codepoint,replacement,status,rule_type,notes_safe
U+F422,,UNMAPPED,SIMPLE,unmapped; human review required
U+F423,,UNMAPPED,SIMPLE,unmapped; human review required
U+F425,,UNMAPPED,SIMPLE,unmapped; human review required
U+F428,,UNMAPPED,SIMPLE,unmapped; human review required
U+F42B,,UNMAPPED,SIMPLE,unmapped; human review required
U+F435,,UNMAPPED,SIMPLE,unmapped; human review required
U+F437,,UNMAPPED,SIMPLE,unmapped; human review required
U+F438,,UNMAPPED,SIMPLE,unmapped; human review required
U+F43A,นี่,VERIFIED,SIMPLE,human-reviewed
U+F43B,,UNMAPPED,SIMPLE,unmapped; human review required
U+F43C,,UNMAPPED,SIMPLE,unmapped; human review required
U+F43F,,UNMAPPED,SIMPLE,unmapped; human review required
U+F443,,UNMAPPED,SIMPLE,unmapped; human review required
U+F444,,UNMAPPED,SIMPLE,unmapped; human review required
U+F446,,UNMAPPED,SIMPLE,unmapped; human review required
U+F448,,UNMAPPED,SIMPLE,unmapped; human review required
U+F44B,,UNMAPPED,SIMPLE,unmapped; human review required
U+F44C,,UNMAPPED,SIMPLE,unmapped; human review required
U+F450,,UNMAPPED,SIMPLE,unmapped; human review required
U+F451,,UNMAPPED,SIMPLE,unmapped; human review required
U+F457,,UNMAPPED,SIMPLE,unmapped; human review required
U+F459,,UNMAPPED,SIMPLE,unmapped; human review required
U+F463,,UNMAPPED,SIMPLE,unmapped; human review required
U+F464,,UNMAPPED,SIMPLE,unmapped; human review required
U+F468,นี้,VERIFIED,SIMPLE,human-reviewed
U+F469,,UNMAPPED,SIMPLE,unmapped; human review required
U+F46A,,UNMAPPED,SIMPLE,unmapped; human review required
U+F471,,UNMAPPED,SIMPLE,unmapped; human review required
U+F472,,UNMAPPED,SIMPLE,unmapped; human review required
U+F474,,UNMAPPED,SIMPLE,unmapped; human review required
U+F479,,UNMAPPED,SIMPLE,unmapped; human review required
U+F47A,,UNMAPPED,SIMPLE,unmapped; human review required
U+F47C,,UNMAPPED,SIMPLE,unmapped; human review required
U+F492,,UNMAPPED,SIMPLE,unmapped; human review required
U+F4A0,,UNMAPPED,SIMPLE,unmapped; human review required
U+F4BF,,UNMAPPED,SIMPLE,unmapped; human review required
U+F4E4,,UNMAPPED,SIMPLE,unmapped; human review required
U+F4F0,,UNMAPPED,SIMPLE,unmapped; human review required
U+F4F2,,UNMAPPED,SIMPLE,unmapped; human review required
U+F4F7,,UNMAPPED,SIMPLE,unmapped; human review required
U+F4FC,,UNMAPPED,SIMPLE,unmapped; human review required
U+F504,,UNMAPPED,SIMPLE,unmapped; human review required
U+F506,,UNMAPPED,SIMPLE,unmapped; human review required
U+F507,,UNMAPPED,SIMPLE,unmapped; human review required
U+F509,ขึ้,VERIFIED,SIMPLE,human-reviewed
U+F512,,UNMAPPED,SIMPLE,unmapped; human review required
U+F521,,UNMAPPED,SIMPLE,unmapped; human review required
U+F523,,UNMAPPED,SIMPLE,unmapped; human review required
U+F534,,UNMAPPED,SIMPLE,unmapped; human review required
U+F536,,UNMAPPED,SIMPLE,unmapped; human review required
U+F562,,UNMAPPED,SIMPLE,unmapped; human review required
U+F590,,UNMAPPED,SIMPLE,unmapped; human review required
U+F593,,UNMAPPED,SIMPLE,unmapped; human review required
U+F598,,UNMAPPED,SIMPLE,unmapped; human review required
